loss_train,loss_train_noisy,loss_train_clean,accuracy_train,loss_val,accuracy_val,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
2.2123945224729074,2.0083169164498544,2.378171619270532,0.17764444444444444,2.1730270729660988,0.2212,30.939812898635864,False,,,1,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-00-15,1638644415,30.939812898635864,3207,nb-test,10.138.0.16,30.939812898635864,0,1
2.1801121630414197,1.9915191352803598,2.333310768355175,0.2326888888888889,2.142442414820194,0.2338,19.894600868225098,False,,,2,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-00-35,1638644435,50.83441376686096,3207,nb-test,10.138.0.16,50.83441376686096,0,2
2.1247206276084483,1.9155716399406713,2.2946173284243576,0.2539777777777778,2.111625150322914,0.2608,22.432594299316406,False,,,3,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-00-58,1638644458,73.26700806617737,3207,nb-test,10.138.0.16,73.26700806617737,0,3
2.0837922014244046,1.9226588929329669,2.2146846231832575,0.2690444444444444,2.093042968249321,0.2764,22.64777970314026,False,,,4,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-01-20,1638644480,95.91478776931763,3207,nb-test,10.138.0.16,95.91478776931763,0,4
2.065282996996368,1.8742886723572896,2.220432232919452,0.2864,2.084798132067919,0.2838,22.796945571899414,False,,,5,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-01-43,1638644503,118.71173334121704,3207,nb-test,10.138.0.16,118.71173334121704,0,5
2.058237686674035,1.8779194092427736,2.2047145153405086,0.3024222222222222,2.058556597200036,0.2986,22.83958339691162,False,,,6,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-02-06,1638644526,141.55131673812866,3207,nb-test,10.138.0.16,141.55131673812866,0,6
2.034174469247753,1.8536314882970828,2.1808338299314025,0.3149111111111111,2.056352508789301,0.304,22.273950338363647,False,,,7,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-02-28,1638644548,163.8252670764923,3207,nb-test,10.138.0.16,163.8252670764923,0,7
2.0324258988027197,1.8626385315745375,2.170348218456061,0.3283111111111111,2.0523166514620184,0.3092,22.46569538116455,False,,,8,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-02-51,1638644571,186.29096245765686,3207,nb-test,10.138.0.16,186.29096245765686,0,8
2.0114572724203246,1.8214466016284583,2.165807462910537,0.33953333333333335,2.0205897246539593,0.3244,22.861884832382202,False,,,9,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-03-13,1638644593,209.15284729003906,3207,nb-test,10.138.0.16,209.15284729003906,0,9
1.9698724793413986,1.7551376604794715,2.1443066837894498,0.3455111111111111,2.0136474201142787,0.3346,22.61560893058777,False,,,10,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-03-36,1638644616,231.76845622062683,3207,nb-test,10.138.0.16,231.76845622062683,0,10
1.9838398844609655,1.7844089173053101,2.1458424059079917,0.3558222222222222,1.9882441946953535,0.3542,22.67598056793213,False,,,11,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-03-59,1638644639,254.44443678855896,3207,nb-test,10.138.0.16,254.44443678855896,0,11
1.9907501423277763,1.8130802699275823,2.1350756085505678,0.35975555555555555,1.982384125176072,0.3546,22.577731370925903,False,,,12,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-04-21,1638644661,277.02216815948486,3207,nb-test,10.138.0.16,277.02216815948486,0,12
1.9818393630301925,1.7702517703832645,2.153717000713986,0.3681111111111111,1.9807112544044851,0.3606,22.988636016845703,False,,,13,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-04-44,1638644684,300.01080417633057,3207,nb-test,10.138.0.16,300.01080417633057,0,13
1.9931745013014104,1.8221876569237512,2.132071184793047,0.37291111111111114,1.983711561641097,0.357,23.144198179244995,False,,,14,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-05-07,1638644707,323.15500235557556,3207,nb-test,10.138.0.16,323.15500235557556,0,14
1.9351847291850566,1.7295634090844427,2.1022158216711344,0.3797111111111111,1.9630625737681986,0.3674,22.844085931777954,False,,,15,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-05-30,1638644730,345.9990882873535,3207,nb-test,10.138.0.16,345.9990882873535,0,15
1.9528517962518603,1.7638239124087967,2.1064036455114095,0.3858666666666667,1.9583841469824315,0.3754,22.663673400878906,False,,,16,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-05-53,1638644753,368.6627616882324,3207,nb-test,10.138.0.16,368.6627616882324,0,16
1.9149683085356548,1.701633031976713,2.0882656314592936,0.39115555555555553,1.9521634365022182,0.3736,22.735976457595825,False,,,17,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-06-16,1638644776,391.39873814582825,3207,nb-test,10.138.0.16,391.39873814582825,0,17
1.8757789010485628,1.6954045957818524,2.0223012424593385,0.394,1.9442238345965743,0.3794,23.09521245956421,False,,,18,4d8ac_00002,9f34cdc162b144039e7c3f575fe5256b,2021-12-04_19-06-39,1638644799,414.49395060539246,3207,nb-test,10.138.0.16,414.49395060539246,0,18
