loss_train,loss_train_noisy,loss_train_clean,accuracy_train,loss_val,accuracy_val,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
2.0665018354145834,1.7990144028670283,2.1249359469112163,0.2614444444444444,1.8768819705709816,0.3166,30.65342378616333,False,,,1,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-36-30,1638722190,30.65342378616333,11841,nb-test,10.138.0.16,30.65342378616333,0,1
1.8183911198388323,1.7846002881910739,1.8257729142104913,0.3297555555555556,1.791508200263977,0.3494,21.527143001556396,False,,,2,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-36-51,1638722211,52.18056678771973,11841,nb-test,10.138.0.16,52.18056678771973,0,2
1.7562510408945105,1.7528809085884198,1.7569872649670117,0.3628,1.688935116069019,0.393,21.520251989364624,False,,,3,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-37-13,1638722233,73.70081877708435,11841,nb-test,10.138.0.16,73.70081877708435,0,3
1.6463526956053645,1.6275833320683928,1.6504529670506245,0.3826,1.6705410873308777,0.405,21.810222864151,False,,,4,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-37-34,1638722254,95.51104164123535,11841,nb-test,10.138.0.16,95.51104164123535,0,4
1.5435445847368994,1.4168271742156866,1.5712267050684599,0.4077777777777778,1.6305468894049526,0.3932,21.86290717124939,False,,,5,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-37-56,1638722276,117.37394881248474,11841,nb-test,10.138.0.16,117.37394881248474,0,5
1.6112377236375537,1.6377514682200303,1.60544564924972,0.4275555555555556,1.5135828750643878,0.4408,21.508007764816284,False,,,6,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-38-18,1638722298,138.88195657730103,11841,nb-test,10.138.0.16,138.88195657730103,0,6
1.4818129695665414,1.3481730917386943,1.5110073412310896,0.43851111111111113,1.4866585791301448,0.4558,22.07418203353882,False,,,7,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-38-40,1638722320,160.95613861083984,11841,nb-test,10.138.0.16,160.95613861083984,0,7
1.4045639630804096,1.391884520296581,1.4073338575995227,0.46024444444444446,1.5437997097863816,0.4356,21.813371658325195,False,,,8,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-39-02,1638722342,182.76951026916504,11841,nb-test,10.138.0.16,182.76951026916504,0,8
1.276234917632065,1.0340010124098378,1.3291522561821834,0.45855555555555555,1.5007870041763176,0.4366,21.29991841316223,False,,,9,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-39-23,1638722363,204.06942868232727,11841,nb-test,10.138.0.16,204.06942868232727,0,9
1.5125302430467076,1.3434646531340169,1.5494635577714864,0.45986666666666665,1.460567479752237,0.4594,21.872310638427734,False,,,10,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-39-45,1638722385,225.941739320755,11841,nb-test,10.138.0.16,225.941739320755,0,10
1.3835016430652378,1.2750509604956688,1.407193295479711,0.4839111111111111,1.3799963975851657,0.4894,21.775673627853394,False,,,11,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-40-07,1638722407,247.7174129486084,11841,nb-test,10.138.0.16,247.7174129486084,0,11
1.403360465032848,1.181969152071043,1.4517246238375643,0.4936888888888889,1.4561603266606282,0.4848,21.443745136260986,False,,,12,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-40-28,1638722428,269.1611580848694,11841,nb-test,10.138.0.16,269.1611580848694,0,12
1.2885856226544323,0.9019830482734581,1.373041096771884,0.49224444444444443,1.3502300391136377,0.5078,21.52146863937378,False,,,13,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-40-50,1638722450,290.68262672424316,11841,nb-test,10.138.0.16,290.68262672424316,0,13
1.4238426350057622,1.3550243619417732,1.4388763680037113,0.5027555555555555,1.4226797958477067,0.4886,21.547877550125122,False,,,14,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-41-11,1638722471,312.2305042743683,11841,nb-test,10.138.0.16,312.2305042743683,0,14
1.291310090348862,1.323830689624931,1.2842057852757718,0.5120666666666667,1.2573012745747576,0.5284,21.575642108917236,False,,,15,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-41-33,1638722493,333.8061463832855,11841,nb-test,10.138.0.16,333.8061463832855,0,15
1.2032807341339344,1.0723344223852074,1.2318866813663816,0.5231555555555556,1.3113681113763305,0.512,21.68772006034851,False,,,16,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-41-54,1638722514,355.49386644363403,11841,nb-test,10.138.0.16,355.49386644363403,0,16
1.4053210896587693,1.235402776001115,1.442440686609652,0.5246666666666666,1.3077715034940252,0.516,21.38735318183899,False,,,17,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-42-16,1638722536,376.881219625473,11841,nb-test,10.138.0.16,376.881219625473,0,17
1.2907844279148755,1.0150271045888757,1.3510251428665208,0.5279111111111111,1.2557965493994532,0.5264,21.724417448043823,False,,,18,17553_00003,46107e89c4b04051b44d6a26ae32aada,2021-12-05_16-42-38,1638722558,398.60563707351685,11841,nb-test,10.138.0.16,398.60563707351685,0,18
