,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0
mean,54.15,56.79,67.95,75.10,79.40,80.38,80.03,79.23,77.32,75.73,73.94
std,1.90,1.57,0.64,0.15,0.58,0.26,0.37,0.04,0.07,0.84,0.43
