,hp_2021-12-05_10-55-09,hp_2021-12-05_14-46-12,mean,std
0.1,69.88,72.34,71.11,1.23
0.2,70.42,75.32,72.87,2.45
0.5,70.34,73.96,72.15,1.81
1.0,65.94,69.50,67.72,1.78
